mach,CD Power-Off
11.84,0.101930732
11.85,0.101914477
11.86,0.101898242
11.87,0.101882048
11.88,0.101865886
11.89,0.101849745
11.9,0.101833645
11.91,0.10181757
11.92,0.101801521
11.93,0.101785505
11.94,0.101769521
11.95,0.101753566
11.96,0.101737633
11.97,0.101721743
11.98,0.101705871
11.99,0.101690042
12,0.101674231
12.01,0.101658455
12.02,0.101642721
12.03,0.101626996
12.04,0.101611322
12.05,0.101595651
12.06,0.101580037
12.07,0.101564431
12.08,0.101548854
12.09,0.101533317
12.1,0.101517806
12.11,0.101502323
12.12,0.10148687
12.13,0.101471435
12.14,0.10145604
12.15,0.101440675
12.16,0.101425338
12.17,0.101410015
12.18,0.10139473
12.19,0.101379478
12.2,0.101364245
12.21,0.101349049
12.22,0.101333875
12.23,0.101318729
12.24,0.101303618
12.25,0.101288521
12.26,0.101273464
12.27,0.101258437
12.28,0.101243423
12.29,0.101228442
12.3,0.101213491
12.31,0.101198567
12.32,0.101183666
12.33,0.101168799
12.34,0.101153947
12.35,0.101139147
12.36,0.101124352
12.37,0.10110959
12.38,0.101094856
12.39,0.101080138
12.4,0.10106546
12.41,0.101050804
12.42,0.101036181
12.43,0.101021573
12.44,0.101006988
12.45,0.100992451
12.46,0.100977921
12.47,0.100963422
12.48,0.100948952
12.49,0.100934501
12.5,0.100920079
12.51,0.100905682
12.52,0.100891307
12.53,0.100876973
12.54,0.100862648
12.55,0.100848359
12.56,0.100834086
12.57,0.100819847
12.58,0.100805637
12.59,0.100791444
12.6,0.10077727
12.61,0.10076313
12.62,0.10074901
12.63,0.100734921
12.64,0.100720853
12.65,0.100706814
12.66,0.100692801
12.67,0.100678807
12.68,0.100664837
12.69,0.1006509
12.7,0.100636972
12.71,0.100623087
12.72,0.100609221
12.73,0.100595374
12.74,0.100581545
12.75,0.100567748
12.76,0.10055398
12.77,0.100540236
12.78,0.100526512
12.79,0.100512798
12.8,0.100499122
12.81,0.100485468
12.82,0.100471845
12.83,0.100458232
12.84,0.100444648
12.85,0.100431096
12.86,0.100417556
12.87,0.100404058
12.88,0.100390559
12.89,0.100377105
12.9,0.100363654
12.91,0.100350239
12.92,0.100336838
12.93,0.100323466
12.94,0.100310114
12.95,0.100296797
12.96,0.100283494
12.97,0.100270204
12.98,0.100256944
12.99,0.100243709
13,0.100230502
13.01,0.100217305
13.02,0.100204146
13.03,0.100190991
13.04,0.100177877
13.05,0.100164779
13.06,0.100151697
13.07,0.100138637
13.08,0.100125612
13.09,0.100112593
13.1,0.100099598
13.11,0.100086634
13.12,0.100073686
13.13,0.100060765
13.14,0.100047859
13.15,0.100034978
13.16,0.100022122
13.17,0.100009286
13.18,0.09999647
13.19,0.099983672
13.2,0.099970902
13.21,0.099958161
13.22,0.099945421
13.23,0.099932716
13.24,0.099920028
13.25,0.099907361
13.26,0.099894719
13.27,0.099882089
13.28,0.099869493
13.29,0.099856909
13.3,0.099844348
13.31,0.099831809
13.32,0.099819293
13.33,0.0998068
13.34,0.099794323
13.35,0.099781865
13.36,0.099769423
13.37,0.099757014
13.38,0.099744612
13.39,0.09973224
13.4,0.09971989
13.41,0.099707553
13.42,0.099695245
13.43,0.099682953
13.44,0.099670675
13.45,0.099658428
13.46,0.099646182
13.47,0.09963398
13.48,0.099621788
13.49,0.099609612
13.5,0.09959746
13.51,0.099585335
13.52,0.09957322
13.53,0.099561122
13.54,0.099549051
13.55,0.099536992
13.56,0.099524958
13.57,0.099512946
13.58,0.099500952
13.59,0.099488972
13.6,0.09947702
13.61,0.099465085
13.62,0.099453164
13.63,0.099441265
13.64,0.099429388
13.65,0.099417527
13.66,0.099405692
13.67,0.099393871
13.68,0.099382062
13.69,0.099370279
13.7,0.099358518
13.71,0.099346774
13.72,0.099335043
13.73,0.09932333
13.74,0.099311647
13.75,0.099299976
13.76,0.099288324
13.77,0.099276688
13.78,0.099265078
13.79,0.099253483
13.8,0.099241904
13.81,0.099230351
13.82,0.099218803
13.83,0.09920728
13.84,0.099195783
13.85,0.099184301
13.86,0.099172826
13.87,0.099161378
13.88,0.099149948
13.89,0.099138542
13.9,0.099127141
13.91,0.09911576
13.92,0.099104406
13.93,0.099093059
13.94,0.099081739
13.95,0.099070433
13.96,0.099059145
13.97,0.099047869
13.98,0.099036619
