mach,CD Power-On
7.11,0.126310362
7.12,0.126199442
7.13,0.126088853
7.14,0.125978583
7.15,0.125868628
7.16,0.125759003
7.17,0.125649684
7.18,0.125540699
7.19,0.125432018
7.2,0.125323661
7.21,0.12521562
7.22,0.12510789
7.23,0.125000479
7.24,0.124893378
7.25,0.124786575
7.26,0.124680091
7.27,0.124573907
7.28,0.124468039
7.29,0.124362467
7.3,0.124257213
7.31,0.124152239
7.32,0.124047583
7.33,0.123943222
7.34,0.123839161
7.35,0.123735395
7.36,0.123631922
7.37,0.123528745
7.38,0.123425868
7.39,0.123323283
7.4,0.123220998
7.41,0.123118999
7.42,0.123017283
7.43,0.122915859
7.44,0.122814716
7.45,0.122713873
7.46,0.122613308
7.47,0.122513015
7.48,0.12241303
7.49,0.122313314
7.5,0.122213876
7.51,0.122109288
7.52,0.122004993
7.53,0.121901013
7.54,0.121797322
7.55,0.121693944
7.56,0.121590862
7.57,0.121488081
7.58,0.121385601
7.59,0.121283408
7.6,0.121181514
7.61,0.121079916
7.62,0.120978613
7.63,0.1208776
7.64,0.120776872
7.65,0.120676439
7.66,0.120576297
7.67,0.120476438
7.68,0.12037687
7.69,0.120277594
7.7,0.120178584
7.71,0.120079865
7.72,0.119981439
7.73,0.119883281
7.74,0.119785398
7.75,0.119687807
7.76,0.119590481
7.77,0.119493439
7.78,0.119396671
7.79,0.119300176
7.8,0.119203959
7.81,0.119108004
7.82,0.119012329
7.83,0.11891692
7.84,0.118821787
7.85,0.11872691
7.86,0.118632299
7.87,0.118537963
7.88,0.11844389
7.89,0.118350076
7.9,0.118256531
7.91,0.118163244
7.92,0.118070212
7.93,0.117977448
7.94,0.117884947
7.95,0.117792693
7.96,0.117700701
7.97,0.117608969
7.98,0.117517486
7.99,0.11742625
8,0.117335288
8.01,0.117244556
8.02,0.117154084
8.03,0.11706386
8.04,0.116973895
8.05,0.116884159
8.06,0.116794677
8.07,0.116705447
8.08,0.116616461
8.09,0.116527715
8.1,0.116439223
8.11,0.116350952
8.12,0.116262934
8.13,0.116175163
8.14,0.116087637
8.15,0.116000334
8.16,0.115913281
8.17,0.115826454
8.18,0.115739862
8.19,0.115653521
8.2,0.115567408
8.21,0.115481522
8.22,0.115395871
8.23,0.115310455
8.24,0.115225266
8.25,0.115140311
8.26,0.115055576
8.27,0.114971085
8.28,0.11488681
8.29,0.114802764
8.3,0.114718946
8.31,0.114635351
8.32,0.114551975
8.33,0.114468833
8.34,0.114385912
8.35,0.114303204
8.36,0.114220724
8.37,0.114138469
8.38,0.114056425
8.39,0.113974589
8.4,0.113892987
8.41,0.11381159
8.42,0.113730428
8.43,0.113649467
8.44,0.113568722
8.45,0.113488188
8.46,0.113407868
8.47,0.113327764
8.48,0.113247873
8.49,0.11316819
8.5,0.113088714
8.51,0.113009458
8.52,0.112930392
8.53,0.112851548
8.54,0.112772901
8.55,0.112694466
8.56,0.112616239
8.57,0.112538208
8.58,0.112460385
8.59,0.112382765
8.6,0.112305345
8.61,0.112228128
8.62,0.112151121
8.63,0.112074302
8.64,0.111997683
8.65,0.111921273
8.66,0.111845048
8.67,0.111769032
8.68,0.111693208
8.69,0.111617582
8.7,0.11154215
8.71,0.111466903
8.72,0.11139186
8.73,0.111317015
8.74,0.111242348
8.75,0.11116788
8.76,0.111093603
8.77,0.111019515
8.78,0.110945626
8.79,0.110871912
8.8,0.110798386
8.81,0.110725062
8.82,0.110651918
8.83,0.110578959
8.84,0.110506191
8.85,0.110433593
8.86,0.110361191
8.87,0.110288975
8.88,0.110216938
8.89,0.11014508
8.9,0.110073409
8.91,0.110001918
8.92,0.109930616
8.93,0.109859484
8.94,0.109788524
8.95,0.109717758
8.96,0.109647164
8.97,0.109576756
8.98,0.109506509
8.99,0.109436447
9,0.109366567
9.01,0.109296848
9.02,0.10922731
9.03,0.109157946
9.04,0.109088752
9.05,0.109019735
9.06,0.108950885
9.07,0.108882203
9.08,0.108813705
9.09,0.108745376
9.1,0.108677207
9.11,0.108609211
9.12,0.10854138
9.13,0.108473724
9.14,0.108406237
9.15,0.108338907
9.16,0.10827174
9.17,0.10820475
9.18,0.108137926
9.19,0.108071259
9.2,0.108004764
9.21,0.107938415
9.22,0.107872249
9.23,0.107806244
9.24,0.107740386
9.25,0.107674697
9.26,0.107609165
9.27,0.107543801
9.28,0.107478597
9.29,0.107413552
9.3,0.107348651
9.31,0.107283916
9.32,0.107219352
9.33,0.107154934
9.34,0.107090656
9.35,0.107026555
9.36,0.1069626
9.37,0.106898811
9.38,0.106835166
9.39,0.10677167
9.4,0.106708345
9.41,0.106645165
9.42,0.10658213
9.43,0.106519241
9.44,0.10645652
9.45,0.106393944
9.46,0.10633152
9.47,0.106269245
9.48,0.106207106
9.49,0.106145132
9.5,0.106083307
9.51,0.106021609
9.52,0.105960075
9.53,0.105898675
9.54,0.105837442
9.55,0.105776344
9.56,0.105715393
9.57,0.10565458
9.58,0.105593919
9.59,0.105533399
9.6,0.105473023
9.61,0.105412789
9.62,0.105352695
9.63,0.105292747
9.64,0.10523294
9.65,0.105173272
9.66,0.105113749
9.67,0.105054357
9.68,0.104995117
9.69,0.104936009
9.7,0.104877033
9.71,0.104818204
9.72,0.104759519
9.73,0.104700963
9.74,0.104642535
9.75,0.104584249
9.76,0.104526108
9.77,0.104468096
9.78,0.10441023
9.79,0.104352477
9.8,0.104294876
9.81,0.104237411
9.82,0.104180072
9.83,0.104122861
9.84,0.104065795
9.85,0.104008853
9.86,0.103952045
9.87,0.10389537
9.88,0.103838812
9.89,0.103782395
9.9,0.103726119
9.91,0.103669958
9.92,0.10361392
9.93,0.103558021
9.94,0.103502263
9.95,0.103446618
9.96,0.103391103
9.97,0.103335707
9.98,0.103280452
9.99,0.103225314
10,0.103170308
10.01,0.103153014
10.02,0.103133613
10.03,0.103114268
10.04,0.103094953
10.05,0.10307568
10.06,0.103056448
10.07,0.103037254
10.08,0.10301811
10.09,0.102998998
10.1,0.102979942
10.11,0.102960909
10.12,0.102941934
10.13,0.102922988
10.14,0.1029041
10.15,0.102885231
10.16,0.102866415
10.17,0.102847638
10.18,0.102828902
10.19,0.102810206
10.2,0.102791552
10.21,0.102772933
10.22,0.102754345
10.23,0.102735813
10.24,0.102717302
10.25,0.102698855
10.26,0.10268043
10.27,0.10266205
10.28,0.102643703
10.29,0.102625403
10.3,0.102607139
10.31,0.102588917
10.32,0.102570731
10.33,0.102552581
10.34,0.102534474
10.35,0.102516397
10.36,0.102498366
10.37,0.102480366
10.38,0.102462416
10.39,0.102444488
10.4,0.102426604
10.41,0.102408767
10.42,0.102390944
10.43,0.102373182
10.44,0.102355447
10.45,0.102337755
10.46,0.102320084
10.47,0.102302456
10.48,0.102284875
10.49,0.102267334
10.5,0.102249822
10.51,0.102232324
10.52,0.102214891
10.53,0.102197483
10.54,0.102180116
10.55,0.102162782
10.56,0.102145485
10.57,0.102128223
10.58,0.102110995
10.59,0.102093793
10.6,0.102076643
10.61,0.10205952
10.62,0.102042436
10.63,0.102025391
10.64,0.102008364
10.65,0.10199138
10.66,0.101974439
10.67,0.101957537
10.68,0.101940641
10.69,0.101923799
10.7,0.101907001
10.71,0.101890219
10.72,0.101873474
10.73,0.101856763
10.74,0.1018401
10.75,0.101823458
10.76,0.101806843
10.77,0.101790266
10.78,0.101773727
10.79,0.101757221
10.8,0.101740745
10.81,0.101724306
10.82,0.101707899
10.83,0.101691517
10.84,0.101675173
10.85,0.101658865
10.86,0.101642591
10.87,0.101626345
10.88,0.101610138
10.89,0.101593949
10.9,0.101577804
10.91,0.101561688
10.92,0.101545604
10.93,0.101529557
10.94,0.101513534
10.95,0.101497532
10.96,0.101481585
10.97,0.101465655
10.98,0.10144977
10.99,0.101433895
11,0.101418055
11.01,0.101402267
11.02,0.101386492
11.03,0.101370753
11.04,0.10135505
11.05,0.101339366
11.06,0.101323718
11.07,0.101308107
11.08,0.10129252
11.09,0.10127696
11.1,0.10126144
11.11,0.101245938
11.12,0.101230472
11.13,0.101215039
11.14,0.101199632
11.15,0.101184258
11.16,0.101168918
11.17,0.101153593
11.18,0.101138311
11.19,0.101123048
11.2,0.101107825
11.21,0.101092624
11.22,0.101077448
11.23,0.101062309
11.24,0.101047205
11.25,0.101032124
11.26,0.101017067
11.27,0.101002043
11.28,0.100987047
11.29,0.100972079
11.3,0.100957139
11.31,0.100942227
11.32,0.100927344
11.33,0.100912493
11.34,0.100897671
11.35,0.10088287
11.36,0.100868098
11.37,0.100853352
11.38,0.100838642
11.39,0.100823958
11.4,0.100809296
11.41,0.100794661
11.42,0.100780059
11.43,0.100765478
11.44,0.100750935
11.45,0.100736414
11.46,0.100721926
11.47,0.100707454
11.48,0.100693018
11.49,0.1006786
11.5,0.100664208
11.51,0.100649854
11.52,0.100635531
11.53,0.100621215
11.54,0.10060694
11.55,0.100592685
11.56,0.100578458
11.57,0.100564258
11.58,0.100550084
11.59,0.100535939
11.6,0.100521813
11.61,0.100507728
11.62,0.100493654
11.63,0.100479614
11.64,0.100465596
11.65,0.100451605
11.66,0.100437638
11.67,0.100423683
11.68,0.100409784
11.69,0.10039589
11.7,0.100382027
11.71,0.100368188
11.72,0.100354374
11.73,0.100340593
11.74,0.100326832
11.75,0.100313094
11.76,0.100299371
11.77,0.100285686
11.78,0.10027203
11.79,0.100258387
11.8,0.100244777
11.81,0.100231181
11.82,0.100217618
11.83,0.100204088
11.84,0.100190564
11.85,0.100177078
11.86,0.100163605
11.87,0.100150167
11.88,0.100136753
11.89,0.100123355
11.9,0.100109991
11.91,0.100096644
11.92,0.100083319
11.93,0.100070019
11.94,0.100056744
11.95,0.100043493
11.96,0.100030257
11.97,0.100017058
11.98,0.100003871
11.99,0.099990719
12,0.09997758
12.01,0.09996447
12.02,0.099951395
12.03,0.099938322
12.04,0.099925295
12.05,0.099912264
12.06,0.099899284
12.07,0.099886306
12.08,0.099873351
12.09,0.09986043
12.1,0.099847528
12.11,0.099834648
12.12,0.099821793
12.13,0.099808949
12.14,0.09979614
12.15,0.099783353
12.16,0.09977059
12.17,0.099757834
12.18,0.09974511
12.19,0.099732413
12.2,0.09971973
12.21,0.099707077
12.22,0.09969444
12.23,0.099681826
12.24,0.099669241
12.25,0.099656664
12.26,0.099644121
12.27,0.099631602
12.28,0.09961909
12.29,0.099606606
12.3,0.099594147
12.31,0.099581708
12.32,0.099569286
12.33,0.099556893
12.34,0.099544509
12.35,0.099532172
12.36,0.099519833
12.37,0.099507522
12.38,0.099495233
12.39,0.099482956
12.4,0.099470712
12.41,0.099458485
12.42,0.099446285
12.43,0.099434095
12.44,0.099421922
12.45,0.099409792
12.46,0.099397662
12.47,0.099385559
12.48,0.09937348
12.49,0.099361414
12.5,0.099349371
12.51,0.099337348
12.52,0.099325341
12.53,0.099313371
12.54,0.099301404
12.55,0.099289467
12.56,0.099277542
12.57,0.099265644
12.58,0.099253771
12.59,0.09924191
12.6,0.099230063
12.61,0.099218243
12.62,0.099206439
12.63,0.09919466
12.64,0.099182898
12.65,0.099171159
12.66,0.099159441
12.67,0.099147736
12.68,0.099136051
12.69,0.099124394
12.7,0.09911274
12.71,0.099101124
12.72,0.099089522
12.73,0.099077936
12.74,0.09906636
12.75,0.099054813
12.76,0.099043289
12.77,0.099031784
12.78,0.099020294
12.79,0.09900881
12.8,0.098997358
12.81,0.098985923
12.82,0.098974515
12.83,0.098963111
12.84,0.098951732
12.85,0.098940379
12.86,0.098929034
12.87,0.098917727
12.88,0.098906412
12.89,0.098895139
12.9,0.098883864
12.91,0.09887262
12.92,0.098861385
12.93,0.098850174
12.94,0.098838979
12.95,0.098827814
12.96,0.098816657
12.97,0.098805509
12.98,0.098794388
12.99,0.098783285
13,0.098772207
13.01,0.098761134
13.02,0.098750094
13.03,0.098739053
13.04,0.098728049
13.05,0.098717056
13.06,0.098706074
13.07,0.09869511
13.08,0.098684176
13.09,0.098673244
13.1,0.098662332
13.11,0.098651446
13.12,0.098640572
13.13,0.09862972
13.14,0.098618878
13.15,0.098608056
13.16,0.098597255
13.17,0.098586471
13.18,0.098575702
13.19,0.098564945
13.2,0.098554214
13.21,0.098543506
13.22,0.098532795
13.23,0.098522114
13.24,0.098511447
13.25,0.098500796
13.26,0.098490166
13.27,0.098479543
13.28,0.09846895
13.29,0.098458364
13.3,0.098447798
13.31,0.098437248
13.32,0.098426719
13.33,0.098416207
13.34,0.098405708
13.35,0.098395222
13.36,0.09838475
13.37,0.098374306
13.38,0.098363864
13.39,0.098353449
13.4,0.098343051
13.41,0.098332662
13.42,0.098322298
13.43,0.098311947
13.44,0.098301603
13.45,0.098291288
13.46,0.09828097
13.47,0.098270691
13.48,0.098260419
13.49,0.098250159
13.5,0.098239917
13.51,0.0982297
13.52,0.098219489
13.53,0.09820929
13.54,0.098199114
13.55,0.098188946
13.56,0.098178799
13.57,0.098168671
13.58,0.098158556
13.59,0.098148451
13.6,0.098138371
13.61,0.098128303
13.62,0.098118247
13.63,0.098108207
13.64,0.098098186
13.65,0.098088177
13.66,0.09807819
13.67,0.098068213
13.68,0.098058245
13.69,0.098048299
13.7,0.098038371
13.71,0.098028455
13.72,0.098018549
13.73,0.098008658
13.74,0.097998792
